encoder,angle_input,Window,Throttle_input,Motor_output,Window_lower,Window_upper
354.6,270,180-0,1510,1100,180,0
47.5,270,180-0,1510,1510,180,0
116.4,270,180-0,1509,1509,180,0
231.1,0,0-0,1510,1510,0,0
321.9,0,0-0,1509,1509,0,0
84.2,0,0-0,1510,1510,0,0
195.2,0.4,270-90,1510,1510,270,90
357.3,0,270-90,1510,1100,270,90
271.5,0,270-90,1510,1100,270,90
231.9,0,270-90,1510,1510,270,90
34.6,0,270-90,1510,1100,270,90
279.8,0,270-90,1510,1100,270,90
108.5,0,270-90,1510,1510,270,90
137,0,270-90,1510,1510,270,90
201.9,0,270-90,1510,1510,270,90
73.1,0,270-90,1510,1100,270,90
261.1,0,270-90,1510,1510,270,90
94,0,270-90,1510,1510,270,90
218.2,0,270-90,1510,1510,270,90
173.1,0,270-90,1510,1510,270,90
122,0,270-90,1510,1510,270,90
240.5,0,270-90,1510,1510,270,90
61.2,0,270-90,1510,1100,270,90
265.6,0,270-90,1510,1510,270,90
88.3,0,270-90,1510,1100,270,90
147,0,270-90,1510,1510,270,90
354.1,0,270-90,1510,1100,270,90
144.6,0,270-90,1510,1510,270,90
127.6,0,270-90,1510,1510,270,90
261.8,0,270-90,1510,1510,270,90
72.2,0,270-90,1510,1100,270,90
311,0,270-90,1510,1100,270,90
119.9,0,270-90,1510,1510,270,90
168.9,0,270-90,1510,1510,270,90
248.7,0,270-90,1510,1510,270,90
119.1,0,270-90,1510,1510,270,90
298.4,0,270-90,1510,1100,270,90
111.4,0,270-90,1510,1510,270,90
150.8,0,270-90,1510,1510,270,90
99.3,0,270-90,1510,1510,270,90
278.3,0,270-90,1510,1100,270,90
90.9,0,270-90,1510,1510,270,90
295.2,0,270-90,1510,1100,270,90
157.1,0,270-90,1510,1510,270,90
185.5,0,270-90,1510,1510,270,90
221.5,0,270-90,1510,1510,270,90
52.9,0,270-90,1510,1100,270,90
301,0,270-90,1510,1100,270,90
264.1,0,270-90,1510,1510,270,90
66.7,0,270-90,1510,1100,270,90
251.6,0,270-90,1509,1509,270,90
220,0,270-90,1510,1510,270,90
84.1,0,270-90,1509,1100,270,90
287.9,0,270-90,1510,1100,270,90
116.3,0,270-90,1509,1509,270,90
246.9,0.1,270-90,1510,1510,270,90
164.7,0.6,271-91,1510,1510,271,91
140.2,0,270-90,1510,1510,270,90
262.7,0,270-90,1510,1510,270,90
77.9,0,270-90,1510,1100,270,90
311.5,0,270-90,1510,1100,270,90
133.2,0,270-90,1510,1510,270,90
157.1,0,270-90,1510,1510,270,90
223,0,270-90,1510,1510,270,90
80.5,0,270-90,1510,1100,270,90
14,0,270-90,1510,1100,270,90
291.2,0,270-90,1510,1100,270,90
26.7,0,0-0,1510,1510,0,0
117.4,0,0-0,1510,1510,0,0
248.6,0,0-0,1510,1510,0,0
338.8,0,0-0,1510,1510,0,0
63.7,180,90-270,1509,1509,90,270
260.1,180,90-270,1510,1100,90,270
117.2,178,88-268,1509,1100,88,268
69.4,178.3,88-268,1510,1510,88,268
230.4,178.4,88-268,1510,1100,88,268
67.9,176.9,87-267,1509,1509,87,267
24.2,176.6,87-267,1510,1510,87,267
288.3,178,88-268,1510,1510,88,268
125.7,180,90-270,1510,1100,90,270
292.1,180,90-270,1510,1510,90,270
93.2,180,90-270,1509,1100,90,270
21.4,180,90-270,1510,1510,90,270
358.3,180,90-270,1510,1510,90,270
122.1,180,90-270,1510,1100,90,270
299.4,180,90-270,1510,1510,90,270
179.6,180,90-270,1510,1100,90,270
10.7,180,90-270,1510,1510,90,270
321,180,90-270,1510,1510,90,270
126,180,90-270,1509,1100,90,270
309.6,180,90-270,1510,1510,90,270
146.1,180,90-270,1510,1100,90,270
13.8,180,90-270,1510,1510,90,270
325.1,180,90-270,1510,1510,90,270
86.7,180,90-270,1510,1510,90,270
296,180,90-270,1510,1510,90,270
117.3,180,90-270,1510,1100,90,270
308.8,180,90-270,1510,1510,90,270
9.6,180,90-270,1509,1509,90,270
239.8,180,90-270,1510,1100,90,270
22.7,180,90-270,1510,1510,90,270
