Encoder,Input_angle,Window,Throttle_input,Motor_output
317.6,90,0-180,1493,1493
333.4,90,0-180,1493,1493
236.3,90,0-180,1493,1493
132.7,90,0-180,1493,1100
65.6,90,0-180,1493,1100
276.2,90,0-180,1493,1493
9.4,90,0-180,1493,1100
339.7,90,0-180,1493,1493
296.6,90,0-180,1493,1493
54.4,90,0-180,1493,1100
214.8,90,0-180,1493,1493
273.8,0,0-0,1493,1493
71.5,0,0-0,1493,1493
231.5,0,0-0,1493,1493
50.7,0,0-0,1493,1493
202.8,0,0-0,1493,1493
6.2,0,0-0,1493,1493
206.3,0,0-0,1493,1493
353.7,0,0-0,1493,1493
138.2,0,0-0,1493,1493
342.9,0,0-0,1493,1493
126.1,0,0-0,1493,1493
279.8,0,0-0,1493,1493
122.3,0,0-0,1493,1493
277.9,0,0-0,1493,1493
63.4,0,0-0,1493,1493
270.6,0,0-0,1493,1493
50.3,0,0-0,1493,1493
252.1,0,0-0,1493,1493
31.3,0,0-0,1492,1492
183.2,0,0-0,1492,1492
151.8,0,0-0,1371,1371
197,0,0-0,1209,1209
353.5,0,0-0,1037,1037
249.9,0,0-0,1036,1036
120.4,0,0-0,1037,1037
302.5,0,0-0,1036,1036
24.2,0,0-0,1036,1036
340.9,0,0-0,1036,1036
123.3,0,0-0,1037,1000
48.4,0,0-0,1036,1000
77.1,0,0-0,1036,1000
215.2,0,0-0,1036,1000
104.1,0,0-0,1036,1000
89.4,0,0-0,1036,1000
173.1,0,0-0,1037,1000
357.5,0,0-0,1036,1000
274.8,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.3,0,0-0,1036,1000
265.1,0,0-0,1036,1000
265.1,0,0-0,1037,1000
265.2,0,0-0,1037,1000
265.3,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1037,1000
265.2,0,0-0,1036,1000
265.2,0,0-0,1037,1000
265.2,0,0-0,1037,1000
