encoder,angle_input,Window,Throttle_input,Motor_output
90.9,0,270-90,1510,1510
295.2,0,270-90,1510,1100
157.1,0,270-90,1510,1510
185.5,0,270-90,1510,1510
221.5,0,270-90,1510,1510
52.9,0,270-90,1510,1100
301,0,270-90,1510,1100
264.1,0,270-90,1510,1510
66.7,0,270-90,1510,1100
251.6,0,270-90,1509,1509
220,0,270-90,1510,1510
84.1,0,270-90,1509,1100
287.9,0,270-90,1510,1100
116.3,0,270-90,1509,1509
246.9,0.1,270-90,1510,1510
164.7,0.6,271-91,1510,1510
140.2,0,270-90,1510,1510
262.7,0,270-90,1510,1510
77.9,0,270-90,1510,1100
311.5,0,270-90,1510,1100
133.2,0,270-90,1510,1510
157.1,0,270-90,1510,1510
223,0,270-90,1510,1510
80.5,0,270-90,1510,1100
14,0,270-90,1510,1100
291.2,0,270-90,1510,1100
26.7,0,0-0,1510,1510
117.4,0,0-0,1510,1510
248.6,0,0-0,1510,1510
338.8,0,0-0,1510,1510
63.7,180,90-270,1509,1509
260.1,180,90-270,1510,1100
117.2,178,88-268,1509,1100
69.4,178.3,88-268,1510,1510
230.4,178.4,88-268,1510,1100
67.9,176.9,87-267,1509,1509
24.2,176.6,87-267,1510,1510
288.3,178,88-268,1510,1510
125.7,180,90-270,1510,1100
292.1,180,90-270,1510,1510
93.2,180,90-270,1509,1100
21.4,180,90-270,1510,1510
358.3,180,90-270,1510,1510
122.1,180,90-270,1510,1100
299.4,180,90-270,1510,1510
179.6,180,90-270,1510,1100
10.7,180,90-270,1510,1510
321,180,90-270,1510,1510
126,180,90-270,1509,1100
309.6,180,90-270,1510,1510
146.1,180,90-270,1510,1100
13.8,180,90-270,1510,1510
325.1,180,90-270,1510,1510
86.7,180,90-270,1510,1510
296,180,90-270,1510,1510
117.3,180,90-270,1510,1100
308.8,180,90-270,1510,1510
9.6,180,90-270,1509,1509
239.8,180,90-270,1510,1100
22.7,180,90-270,1510,1510
319.2,180,90-270,1510,1510
201.7,180,90-270,1509,1100
341.3,180,90-270,1510,1510
315.7,180,90-270,1510,1510
228.8,180,90-270,1510,1100
48.6,180,90-270,1510,1510
325.5,180,90-270,1510,1510
149,180,90-270,1510,1100
283.8,180,90-270,1510,1510
19.9,180,90-270,1510,1510
83.1,180,90-270,1510,1510
251.9,180,90-270,1510,1100
168.4,180,90-270,1510,1100
139,180,90-270,1510,1100
339.3,180,90-270,1510,1510
168.4,180,90-270,1510,1100
2.3,180,90-270,1510,1510
336.5,180,90-270,1510,1510
247.2,180,90-270,1510,1100
49,180,90-270,1510,1510
302.8,180,90-270,1510,1510
226.1,180,90-270,1510,1100
67.4,180,90-270,1510,1510
319.7,180,90-270,1510,1510
142.1,180,90-270,1510,1100
312.8,180,90-270,1510,1510
105,180,90-270,1510,1100
37.4,180,90-270,1509,1509
302,180,90-270,1510,1510
207.9,180,90-270,1510,1100
358.8,180,90-270,1510,1510
21.4,180,90-270,1510,1510
114.4,180,90-270,1510,1100
327.3,180,90-270,1510,1510
164.7,180,90-270,1510,1100
5.4,180,90-270,1510,1510
344.3,0,0-0,1510,1510
86,0,0-0,1510,1510
198.2,0,0-0,1510,1510
303.1,0,0-0,1510,1510
26,0,0-0,1510,1510
155.7,0,0-0,1510,1510
283.9,0,0-0,1510,1000
236.1,0,0-0,1510,1000
65.7,0,0-0,1510,1000
59.2,0,0-0,1510,1000
271.5,0,0-0,1510,1000
268.6,0,0-0,1364,1000
77.8,0,0-0,1099,1000
93.7,0,0-0,1036,1000
248.9,0,0-0,1036,1000
188.3,0,0-0,1036,1000
323.2,0,0-0,1036,1000
214.7,0,0-0,1036,1000
258.9,0,0-0,1036,1000
93.4,0,0-0,1037,1000
54.1,0,0-0,1036,1000
143.4,0,0-0,1036,1000
19.8,0,0-0,1036,1000
6.9,0,0-0,1036,1000
114.7,0,0-0,1036,1000
351.5,0,0-0,1036,1000
333.1,0,0-0,1036,1000
58.3,0,0-0,1036,1000
264.7,0,0-0,1036,1000
199.1,0,0-0,,
